run_id,data_hora,caso,fase,rep,versao,threads,schedule,chunk,width,height,max_iter,real_a,real_b,imag_a,imag_b,tempo_calculo_s,tempo_escrita_s,carga_min,carga_media,carga_max,fator_balanceamento,trabalho_min,trabalho_media,trabalho_max,pedido_threads,pedido_schedule,pedido_chunk,hash,hash_ok,config_ok,tempo_wall_s,exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r1",2026-09-20T22:42:04,padrao,baseline_ini,1,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,7.003000021,0.048000097,7.003000021,7.003000021,7.003000021,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.130,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r2",2026-09-20T22:42:11,padrao,baseline_ini,2,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,6.980000019,0.047999859,6.980000019,6.980000019,6.980000019,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.041,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r3",2026-09-20T22:42:18,padrao,baseline_ini,3,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,6.936999798,0.042000055,6.936999798,6.936999798,6.936999798,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,6.994,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r4",2026-09-20T22:42:25,padrao,baseline_ini,4,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,7.015000105,0.043999910,7.015000105,7.015000105,7.015000105,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.076,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r5",2026-09-20T22:42:33,padrao,baseline_ini,5,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,7.036000013,0.039000034,7.036000013,7.036000013,7.036000013,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.089,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r6",2026-09-20T22:42:40,padrao,baseline_ini,6,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,7.013999939,0.040999889,7.013999939,7.013999939,7.013999939,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.070,mandelbrot_seq_padrao_4096.exe
"baseline_ini|sequencial|padrao|4096|t1|nenhum,0|r7",2026-09-20T22:42:47,padrao,baseline_ini,7,sequencial,1,nenhum,0,4096,4096,1000,-2,1,-1.5,1.5,6.973000050,0.040999889,6.973000050,6.973000050,6.973000050,0.000000,2895092789,2895092789.000,2895092789,1,nenhum,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,7.032,mandelbrot_seq_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|dynamic,16|r1",2026-09-20T22:42:48,padrao,medicao,1,openmp,12,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,0.736999989,0.042999983,0.735000134,0.736833334,0.736999989,0.002714,217679657,241257732.417,259860108,12,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.829,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|static,16|r1",2026-09-20T22:42:49,padrao,medicao,1,openmp,12,static,16,4096,4096,1000,-2,1,-1.5,1.5,0.778000116,0.073999882,0.684999943,0.719999969,0.776999950,0.118404,239894689,241257732.417,243323173,12,static,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.868,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|static,0|r1",2026-09-20T22:42:51,padrao,medicao,1,openmp,12,static,0,4096,4096,1000,-2,1,-1.5,1.5,1.874000072,0.040999889,0.007999897,0.637416641,1.874000072,0.995731,2626500,241257732.417,718283717,12,static,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.928,mandelbrot_omp_padrao_4096.exe
