caso,width,threads,schedule,chunk,n,t_med,t_min,t_max,t_media,t_desvio,flb,razao_tmax_tmed,w_max,w_media,escrita_s,cv_pct,pol,t_seq,speedup,speedup_min,speedup_max,eficiencia,karp_flatt,flb_prev,efic_bal_prev
padrao,4096,1,dynamic,1,5,6.986999989,6.971000195,7.006000042,6.9876000882,0.012421704923524637,0.0,1.0,2895092789.0,2895092789.0,0.039999962,0.17776782824909,"dynamic,1",6.9765000345,0.998497215612347,0.9957893223917853,1.0007889598832524,99.8497215612347,,,
padrao,4096,2,dynamic,1,5,3.595999956,3.593999863,3.638000011,3.606799984,0.018780341929954997,0.0,1.0,1448192133.0,1447546394.5,0.0400002,0.5206926364995514,"dynamic,1",6.9765000345,1.9400723358907628,1.917674550138972,1.941152003460719,97.00361679453813,0.03088939675113811,2.6320396452042335e-07,99.99998683980178
padrao,4096,2,dynamic,16,5,3.601000071,3.586999893,3.605999947,3.5998000148000004,0.007463296785464532,0.0,1.0,1447839285.0,1447546394.5,0.039999962,0.20732531681705607,"dynamic,16",6.9765000345,1.9373784773524376,1.934692217703463,1.9449401289681052,96.86892386762189,0.03232281321362618,4.801226653584634e-07,99.99997599386673
padrao,4096,2,guided,1,5,3.607000113,3.592000008,3.619000196,3.6072000504000004,0.012008369198613544,0.000276,1.0001381688547268,1447846298.0,1447546394.5,0.039999962,0.3329000063991999,"guided,1",6.9765000345,1.934155757122373,1.9277423754248395,1.942232744699927,96.70778785611866,0.03404288544764866,2.272811178020285e-07,99.9999886359441
padrao,4096,2,static,0,5,3.601000071,3.590999842,3.611000061,3.6007999898,0.008438030481979901,0.000557,1.0002785314829956,1447546559.0,1447546394.5,0.040999889,0.2343376612386787,static (blocos),6.9765000345,1.9373784773524376,1.9320132696336723,1.9427736957555677,96.86892386762189,0.03232281321362618,2.272811178020285e-07,99.9999886359441
padrao,4096,2,static,1,5,3.609000206,3.604000092,3.621999979,3.6114000322,0.007162373650929855,0.0,1.0,1447546585.0,1447546394.5,0.042000055,0.19832678703739906,"static,1",6.9765000345,1.9330838559946593,1.9261457965071953,1.9357657759182987,96.65419279973297,0.034616265506448585,2.6320396452042335e-07,99.99998683980178
padrao,4096,4,dynamic,1,5,1.88499999,1.878999949,1.893999815,1.885599947,0.005549694677746253,0.0,1.0,725589247.0,723773197.25,0.0400002,0.2943198363245527,"dynamic,1",6.9765000345,3.701061045894223,3.6834745068335715,3.712879310195234,92.52652614735557,0.0269237164152701,4.292773431771837e-06,99.99981820995679
padrao,4096,4,dynamic,16,5,1.888999939,1.878000021,1.891000032,1.8858000275999998,0.006300766326713626,0.0,1.0,724949224.0,723773197.25,0.039999962,0.33411635563143033,"dynamic,16",6.9765000345,3.6932240655302633,3.6893177770713015,3.71485620686263,92.33060163825658,0.0276881778654184,0.00015751704898661135,99.99177147630559
padrao,4096,4,guided,1,5,3.102999926,3.085999966,3.112999916,3.1003999234,0.01006476286864097,0.817183,1.6861839425035148,1234556368.0,723773197.25,0.039999962,0.32462789050786783,"guided,1",6.9765000345,2.248308153681857,2.24108584090948,2.2606934903964935,56.20770384204643,0.2597051837177436,0.8199672540184897,58.62617665830225
padrao,4096,4,static,0,5,3.506999969,3.486999989,3.524999857,3.5075999738,0.014099622647714057,0.971027,1.9445060911337875,1405022951.0,723773197.25,0.039999962,0.4019735076129295,static (blocos),6.9765000345,1.9893071275074197,1.9791490262463292,2.000716964871777,49.732678187685494,0.33691678284856846,0.9697348153852328,51.51326508473526
padrao,4096,4,static,1,5,1.885999918,1.879999876,1.894000053,1.8861999986,0.005310404241751435,0.00528,1.0026638541430088,723794999.0,723773197.25,0.039999962,0.2815398285278864,"static,1",6.9765000345,3.6990988005440624,3.683474043968255,3.7109045184319998,92.47747001360156,0.027114820454077575,6.0308512852822295e-05,99.99698785567321
padrao,4096,6,dynamic,1,5,1.289000034,1.286000013,1.289999962,1.2885999678000002,0.001673312972552726,0.0,1.0,484680992.0,482515464.833,0.040999889,0.12985511519215218,"dynamic,1",6.9765000345,5.412335027525685,5.408139720937449,5.42496109173834,90.20558379209474,0.021715764803383695,1.2179850192194803e-05,99.99942278521762
padrao,4096,6,dynamic,4,5,1.286000013,1.285000086,1.305000067,1.2900000571999999,0.00845577486111283,0.0,1.0,484320970.0,482515464.833,0.040999889,0.6554863942771018,"dynamic,4",6.9765000345,5.42496109173834,5.345976763463262,5.42918254287183,90.41601819563901,0.021199743133176952,4.626523535297651e-05,99.99861826717894
padrao,4096,6,dynamic,16,5,1.286000013,1.27699995,1.289999962,1.2849999902,0.005244062118359566,0.0,1.0,483788821.0,482515464.833,0.0400002,0.4080982224399371,"dynamic,16",6.9765000345,5.42496109173834,5.408139720937449,5.463195229177574,90.41601819563901,0.021199743133176952,0.0002175842831010967,99.98741107318337
padrao,4096,6,dynamic,64,5,1.301000118,1.296999931,1.305000067,1.3008000374,0.0030331977688127024,0.017747,1.014643015468256,489411429.0,482515464.833,0.040999889,0.23317940356731284,"dynamic,64",6.9765000345,5.362413068205425,5.345976763463262,5.378951739126962,89.37355113675709,0.02377985148421058,0.01793020448649964,98.5909678936683
padrao,4096,6,dynamic,256,5,1.469000101,1.463999987,1.486000061,1.4712000372,0.00858489096622771,0.210884,1.1510941684829816,558949047.0,482515464.833,0.041000128,0.5835298225363388,"dynamic,256",6.9765000345,4.749148777968668,4.694818134667627,4.765368918340024,79.15247963281114,0.05267685981260638,0.2192002252398509,86.32548305129023
padrao,4096,6,guided,1,5,2.178999901,2.164999962,2.191999912,2.1767999648,0.01138861106161229,0.761228,1.7391073224617475,849581425.0,482515464.833,0.039999962,0.5231813324959629,"guided,1",6.9765000345,3.201698187915613,3.1827099975266786,3.222401920069872,53.36163646526021,0.17480109915707912,0.7653830414194849,56.79449322156888
padrao,4096,6,guided,4,5,2.177000046,2.162999868,2.185000181,2.1756000042,0.008820513347565163,0.756819,1.7319750084157162,849581425.0,482515464.833,0.041000128,0.40542900030047546,"guided,4",6.9765000345,3.2046393601683922,3.19290592978674,3.225381627485148,53.41065600280654,0.17445711205923162,0.7653830461276857,56.79449322156888
padrao,4096,6,guided,16,5,2.166000128,2.159000158,2.180999994,2.1674000262,0.008324631602294314,0.759944,1.7306155768219997,849581425.0,482515464.833,0.039999962,0.3840837640336056,"guided,16",6.9765000345,3.2209139530115487,3.1987620603817386,3.2313568892754105,53.681899216859144,0.17256505995076407,0.7654002852051527,56.79449322156888
padrao,4096,6,guided,64,5,2.175000191,2.15899992,2.20600009,2.1764000418,0.01810530653458951,0.75989,1.7336522385260347,849581425.0,482515464.833,0.039999962,0.8318923996902448,"guided,64",6.9765000345,3.2075859410809584,3.162511219344511,3.2313572454879944,53.459765684682644,0.17411312496138429,0.7655374339192974,56.79449322156888
padrao,4096,6,static,0,5,2.996000051,2.98300004,3.0,2.99380002,0.00641871420158611,0.995642,2.4495976381732536,1189490404.0,482515464.833,0.039999962,0.21440023243723907,static (blocos),6.9765000345,2.328604778284765,2.3255000115,2.3387529134930887,38.810079638079415,0.31533004277519017,0.9944100608313945,40.56488923414075
padrao,4096,6,static,1,5,1.289999962,1.289000034,1.317000151,1.2956000328,0.0120125608138366,0.005426,1.0020747239668506,482524461.0,482515464.833,0.041999817,0.9271812681167911,"static,1",6.9765000345,5.408139720937449,5.297265933646806,5.412335027525685,90.13566201562413,0.021887758438310423,3.771829507312791e-05,99.99813560401724
